index,car_name,year_manufacture,fuel_type,transmission,ownership,engine,number_seats,kms_driven,car_price
127,494,19,4,1,1,12,2,60.0,5.519999999999999
128,280,25,4,0,1,14,2,10.0,10.98
129,1120,22,4,0,1,12,2,59.385,6.6
130,721,15,1,0,2,108,2,51.0,20.4
131,929,20,1,0,1,69,4,74.0,11.88
132,1648,23,4,0,1,13,2,29.0,10.212
133,746,24,1,0,1,60,2,12.2,33.0
134,485,22,4,0,3,12,2,40.0,6.6
135,586,21,1,1,1,44,2,58.0,11.412
136,1797,22,1,0,2,98,4,75.0,23.879999999999995
137,780,21,1,0,1,71,4,72.0,42.6
138,165,20,4,1,1,11,2,23.4,6.6
139,164,20,4,1,1,11,2,59.3,4.68
140,417,19,1,1,1,29,2,72.0,10.68
141,1171,20,1,1,1,16,2,67.0,5.412
142,262,21,4,0,1,14,2,33.5,8.7
143,442,24,4,1,2,40,2,17.0,15.3
144,1816,19,1,0,1,41,2,33.0,8.28
145,1844,18,4,0,1,12,2,49.0,8.1
146,486,18,4,0,1,12,2,26.0,6.78
147,552,23,4,1,1,137,2,14.5,12.0
148,756,25,1,0,1,37,2,10.0,23.7
149,807,23,4,0,1,34,3,15.001,20.4
150,1512,18,4,0,2,56,2,55.0,11.7
151,1716,16,4,1,1,56,2,38.0,7.8
152,213,8,1,1,2,102,4,110.0,4.8
153,260,16,4,0,1,13,2,65.413,5.7
154,381,12,4,1,2,13,2,45.0,3.36
155,225,20,4,1,1,11,2,44.0,5.16
156,480,20,4,1,1,12,2,40.0,5.880000000000001
157,190,19,4,0,1,39,2,49.0,7.812
158,913,25,1,0,1,75,1,19.0,21.012000000000004
159,694,16,1,1,2,29,2,56.0,4.692
160,321,13,4,1,2,40,2,65.0,4.5
161,1731,16,4,1,1,39,2,27.68,5.880000000000001
162,756,24,1,0,1,37,2,27.305,21.9
163,52,22,1,0,1,67,2,10.793,39.6
164,88,23,1,0,1,67,2,12.0,67.2
165,813,22,4,0,1,34,2,44.0,17.988
166,759,23,4,1,1,40,2,63.0,14.388
167,710,22,1,1,1,29,2,87.0,7.8
168,990,13,4,1,1,130,2,61.0,2.28
169,705,19,1,1,1,29,2,72.0,7.5
170,4,18,1,0,1,61,2,70.0,19.812000000000005
171,1397,15,1,1,2,35,2,58.0,2.7
172,380,12,4,1,3,13,2,90.0,1.56
173,335,25,4,1,1,40,2,19.0,15.0
174,1717,17,4,0,1,56,2,72.159,11.1
175,178,18,1,1,1,41,2,78.0,7.08
176,182,21,1,1,1,41,2,58.0,8.28
177,184,21,1,1,1,41,2,72.0,10.68
178,789,21,1,0,1,71,2,56.0,51.0
179,1397,15,1,1,1,35,2,73.0,3.48
180,434,19,4,1,1,47,2,28.84,10.68
181,1169,22,4,0,1,12,2,51.5,8.28
182,1136,23,4,0,1,137,2,41.37,5.76
183,434,19,4,1,1,47,2,41.266,10.5
184,602,21,4,0,1,47,2,31.74,11.88
185,1064,18,4,1,1,25,2,77.876,7.38
186,1499,25,4,1,1,41,2,9.5,24.6
187,485,22,4,0,1,12,2,28.387,7.5
188,1364,18,1,0,2,107,2,120.0,32.4
189,494,20,4,1,2,12,2,20.0,5.4
190,1318,23,1,0,1,59,2,30.686,51.0
191,1607,16,1,1,2,29,2,120.0,1.2
192,829,21,1,1,2,37,4,184.0,7.2
193,317,12,4,0,1,40,2,40.0,4.8
194,1056,18,1,1,1,16,2,55.0,7.5
195,484,22,4,1,1,12,2,38.0,6.9
196,30,20,4,0,1,28,2,40.0,28.2
197,514,9,4,1,2,138,2,60.0,1.62
198,834,12,1,1,3,92,4,110.0,3.6
199,1199,14,1,1,2,16,2,143.0,2.52
200,1593,15,1,1,3,16,2,110.0,1.5
201,846,20,1,1,1,13,3,58.0,5.7
202,349,17,4,1,2,40,2,65.0,6.6
203,1577,24,1,1,1,60,2,50.0,20.4
204,1702,18,4,1,1,9,2,55.0,4.188
205,777,24,1,0,1,71,4,19.5,84.0
206,928,19,1,0,2,74,4,78.0,11.1
207,330,13,4,1,1,40,2,58.0,4.68
208,933,20,1,1,1,74,4,91.0,12.3
209,926,19,1,0,1,69,4,30.0,13.5
210,1001,21,4,1,1,12,2,44.153,8.7
211,1315,21,1,0,1,72,2,21.0,41.4
212,763,23,4,1,1,40,2,19.0,16.8
213,411,24,1,0,1,37,3,27.3,23.4
214,1553,24,4,0,1,63,2,31.001,40.8
215,1448,20,4,1,1,138,2,50.0,3.72
216,1250,8,4,1,2,137,2,77.0,1.56
217,1166,21,4,0,1,12,2,53.0,7.8
218,145,20,4,1,1,131,2,20.0,3.3
219,304,16,4,1,1,13,2,72.0,4.2
220,434,19,4,1,1,47,2,26.0,10.68
221,268,18,1,1,1,41,2,66.0,5.1
222,720,17,1,0,1,74,2,69.619,26.4
223,986,21,4,0,1,137,2,30.0,5.16
224,1256,12,4,1,1,2,2,61.0,2.532
225,1429,21,1,0,1,35,2,31.0,11.7
226,1844,18,4,0,1,12,2,66.0,7.5
227,776,24,4,0,1,69,4,7.7,86.4
228,950,25,4,0,1,71,2,9.0,21.0
229,1693,20,4,1,2,14,2,60.0,4.08
230,1489,12,4,1,3,13,2,110.0,1.3200000000000003
231,766,23,1,0,1,37,2,51.001,20.1
232,739,23,1,0,1,60,2,56.207,25.2
233,1345,22,1,0,1,72,2,58.0,32.28
234,687,21,1,1,1,29,2,73.29,7.8
235,565,20,1,1,1,44,2,44.283,9.48
236,1024,19,4,0,1,137,2,48.0,5.1
237,319,13,4,1,3,40,2,107.5,4.08
238,1154,10,4,1,3,17,2,80.0,1.199988
239,1137,12,4,1,2,45,2,90.0,2.4
240,1228,24,4,1,1,36,2,10.0,9.3
241,1249,14,4,1,1,137,2,120.0,2.58
242,1249,14,4,1,1,137,2,120.0,2.844
243,1288,5,4,1,3,135,2,90.0,0.66
244,842,21,4,1,1,13,3,46.0,5.1
245,1410,20,1,1,1,35,2,28.0,6.9
246,395,23,4,1,1,14,2,24.0,9.9
247,399,21,4,1,1,14,2,23.0,8.28
248,400,21,4,1,1,14,2,24.3,9.3
249,400,22,4,1,1,14,2,51.0,9.48
250,757,23,4,0,1,22,2,6.0,17.88
251,757,24,4,0,1,22,2,12.6,20.7
252,748,25,1,0,1,60,4,3.5,44.4
253,629,14,4,1,1,3,2,120.0,2.7599999999999993
254,502,25,0,1,1,12,2,5.0,9.0
255,527,13,4,1,4,3,2,120.0,1.62
256,383,21,4,0,1,14,2,40.0,8.34
257,360,21,4,1,1,40,2,96.0,9.42
258,319,13,4,1,2,40,2,67.0,3.9
259,360,21,4,1,1,40,2,72.0,9.48
260,633,16,4,1,1,12,2,89.0,3.852
261,1840,14,1,1,1,14,2,64.0,3.96
262,1218,13,1,1,3,16,2,120.0,2.4
263,372,20,4,1,1,14,2,42.0,6.48
264,146,20,4,1,1,131,2,55.0,3.24
265,512,22,4,1,1,3,2,30.0,5.94
266,1590,20,1,0,2,74,4,86.5,12.0
267,310,17,4,0,1,79,2,59.0,12.6
268,454,21,4,1,1,132,2,15.0,3.72
269,879,22,1,1,1,74,4,70.0,14.4
270,1836,20,4,1,2,13,2,50.0,7.2
271,115,15,1,1,1,65,2,110.0,3.6
272,1664,24,4,0,1,14,2,13.7,11.1
273,1214,22,4,1,1,12,2,25.0,6.84
274,201,24,1,1,1,41,2,20.0,13.2
275,720,17,1,0,2,74,2,70.0,21.6
276,1603,16,1,1,3,32,2,35.0,1.2
277,1751,24,1,0,1,98,4,26.629,52.2
278,1318,22,1,0,1,59,2,20.0,55.8
279,1353,22,1,0,1,72,2,33.0,64.74
280,59,24,4,0,1,70,2,25.0,74.1
281,29,20,1,1,1,61,2,55.291,33.54
282,1307,16,1,0,1,72,2,58.5,19.8
283,45,21,1,0,1,104,4,15.0,87.0
284,1434,17,1,1,1,35,2,90.0,7.8
285,31,15,1,0,2,61,2,64.0,15.6
286,1290,7,4,1,2,135,2,132.596,4.8
287,1213,11,4,1,3,17,2,99.673,1.848
288,1660,24,2,0,1,0,2,24.374,5.016
289,1876,14,4,0,3,50,2,69.828,4.704
290,996,19,4,1,2,12,2,72.82,7.128
291,1318,22,1,0,1,59,2,20.785,44.688
292,1186,19,4,0,2,12,2,31.172,7.056
293,504,19,4,1,1,12,2,24.395,5.4239999999999995
294,813,24,4,0,1,34,2,11.05,21.9
295,1771,16,1,1,2,88,4,123.394,9.288
296,1221,16,1,1,2,16,2,105.053,5.052
297,700,24,4,1,1,12,2,10.283,10.128
298,1578,25,1,1,1,60,2,2.443,26.388
299,1742,22,4,0,2,95,4,44.0,37.2
300,36,14,1,0,3,104,2,68.0,11.939999999999998
301,893,16,1,0,1,96,4,72.0,11.7
302,635,14,4,1,1,3,2,38.0,2.7
303,1185,22,4,1,1,12,2,65.0,7.8
304,44,17,1,0,2,104,4,43.0,22.5
305,642,17,4,1,2,3,2,52.0,5.1
306,948,15,1,1,1,74,4,117.0,8.94
307,578,19,4,1,1,47,2,84.0,9.9
308,972,18,4,1,3,130,2,45.08,2.448
309,1075,22,4,1,1,11,2,39.341,5.64
310,867,10,1,1,1,94,5,133.0,3.96
311,960,17,2,0,1,0,2,54.112,3.852
312,708,23,4,1,1,12,2,14.824,9.839999999999998
313,351,20,4,1,1,40,2,82.5,11.1
314,762,23,4,1,1,40,2,17.922,16.188
315,101,22,4,0,1,113,4,13.0,147.6
316,1385,18,1,0,1,85,3,85.0,20.1
317,486,18,4,0,1,12,2,67.0,6.9
318,383,21,4,0,1,14,2,35.0,8.94
319,972,19,4,1,1,130,2,53.0,4.14
320,804,25,4,1,1,34,2,0.598,24.9
321,1100,22,1,1,1,16,4,75.727,10.704
322,757,23,4,0,1,22,2,7.0,22.679999999999996
323,1236,19,1,1,1,16,2,62.403,10.296
324,1833,17,1,1,2,41,2,44.487,5.436
325,1318,23,1,0,2,59,2,24.0,46.8
326,1792,23,1,0,1,82,4,47.0,34.2
327,635,11,4,1,1,3,2,31.212,2.28
328,1553,23,4,0,1,63,2,17.776,40.38
329,565,18,1,1,2,44,2,31.837,7.896
330,1,23,1,0,1,61,2,39.0,30.96
331,992,9,4,1,2,130,2,78.0,1.44
332,193,23,4,0,1,40,2,31.0,14.22
333,1206,16,1,1,2,16,2,115.986,4.656
334,1732,17,4,1,2,39,2,73.029,4.704
335,573,16,4,0,2,47,2,25.0,7.62
336,255,16,1,1,1,41,2,74.809,2.928
337,650,14,4,1,1,12,2,33.56,3.264
338,645,14,4,0,1,12,2,40.821,3.432
339,1310,17,1,0,2,72,2,58.0,18.9
340,233,13,4,1,2,11,2,75.991,1.956
341,1223,11,4,1,2,17,2,136.432,2.136
342,992,11,4,1,4,130,2,70.229,1.017336
343,1795,19,1,0,2,98,5,83.0,20.7
344,527,11,4,1,1,3,2,51.915,1.3320000000000003
345,1844,17,4,0,2,12,2,63.1,6.6
346,1354,20,1,0,2,72,2,54.0,57.6
347,85,24,1,0,1,67,2,9.0,54.6
348,525,15,4,1,1,3,2,46.833,3.9
349,564,15,1,1,2,44,2,78.744,6.3
350,1207,17,1,1,2,16,2,79.542,5.880000000000001
351,320,13,4,0,2,40,2,96.0,5.519999999999999
352,772,24,4,1,1,137,2,13.0,15.9
353,1207,13,1,1,1,16,2,44.521,4.56
354,485,20,4,0,2,12,2,29.927,6.564
355,308,20,4,0,1,69,2,48.019,23.7
356,489,20,4,1,2,12,2,27.311,8.1
357,937,24,1,1,1,74,4,14.0,24.6
358,636,12,4,1,1,12,2,64.64,3.78
359,348,15,4,1,2,40,2,96.505,5.988
360,1744,21,1,0,1,98,4,90.479,38.4
361,542,25,4,1,1,12,2,3.5,11.58
362,1649,21,4,1,1,13,2,42.374,10.260000000000002
363,1002,19,1,1,1,16,2,45.879,8.52
364,1062,19,1,1,2,16,2,120.0,6.864
365,488,18,4,1,2,12,2,89.68,5.64
366,52,15,1,0,3,67,2,99.0,15.3
367,1292,1,4,1,3,135,2,90.0,1.3200000000000003
368,96,21,1,0,1,108,2,27.0,71.7
369,1550,18,1,0,1,61,2,79.776,17.58
370,1798,14,1,0,1,106,4,67.0,64.8
371,1509,20,1,1,1,61,2,108.0,17.7
372,1863,22,1,1,1,41,2,58.0,11.339999999999998
373,1504,21,4,0,1,56,2,32.067,27.3
374,1790,20,1,1,2,82,4,52.187,23.4
375,70,22,1,0,1,108,2,17.1,70.5
376,807,24,4,0,1,34,3,9.562,23.279999999999998
377,816,22,1,1,1,60,2,36.388,21.720000000000002
378,1314,14,1,0,2,72,2,45.0,11.7
379,745,22,1,1,1,60,2,36.149,21.3
380,755,23,4,1,1,22,2,20.155,20.34
381,811,22,4,0,1,34,2,51.904,20.1
382,1844,18,4,0,1,12,2,54.0,8.7
383,755,22,4,1,2,22,2,31.727,18.78
384,928,20,1,0,1,74,4,73.986,17.34
385,769,24,1,1,1,37,2,7.1,17.1
386,772,24,4,1,1,137,2,5.397,16.74
387,88,21,1,0,1,67,2,65.0,59.4
388,658,20,1,1,1,29,2,90.0,8.4
389,1183,16,4,1,2,12,2,80.0,5.7
390,1844,18,4,0,2,12,2,91.0,8.4
391,78,13,1,0,2,108,2,69.0,28.5
392,1754,17,1,1,2,106,4,89.0,21.0
393,508,16,1,1,1,78,4,95.254,9.9
